,Customer_ID,Churn,Gender,Senior_Citizen,Partner,Dependents,Tenure,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Charges_Monthly,Charges_Total,Charges_Daily,Gasto_Rango,Tenure_Rango,Daily_Range
0,0002-ORFBO,0,Female,No Senior,1,1,9,1,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,593.3,2.1866666666666665,Bajo Gasto,0-12 Meses,Costo/Día Medio
1,0003-MKNFE,0,Male,No Senior,0,0,9,1,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,1.9966666666666666,Bajo Gasto,0-12 Meses,Costo/Día Medio
2,0004-TLHLJ,1,Male,No Senior,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,2.4633333333333334,Bajo Gasto,0-12 Meses,Costo/Día Medio
3,0011-IGKFF,1,Male,Senior,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,3.2666666666666666,Gasto Medio,0-12 Meses,Alto Costo/Día
4,0013-EXCHZ,1,Female,Senior,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,2.796666666666667,Bajo Gasto,0-12 Meses,Costo/Día Medio
5,0013-MHZWF,0,Female,No Senior,0,1,9,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,2.3133333333333335,Bajo Gasto,0-12 Meses,Costo/Día Medio
6,0013-SMEOE,0,Female,Senior,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,3.6566666666666667,Alto Gasto,46+ Meses,Alto Costo/Día
7,0014-BMAQU,0,Male,No Senior,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,2.8216666666666668,Alto Gasto,46+ Meses,Alto Costo/Día
8,0015-UOCOJ,0,Female,Senior,0,0,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,1.6066666666666667,Bajo Gasto,0-12 Meses,Bajo Costo/Día
9,0016-QLJIS,0,Female,No Senior,1,1,65,1,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,3.015,Alto Gasto,46+ Meses,Alto Costo/Día
10,0017-DINOC,0,Male,No Senior,0,0,54,0,No phone service,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,1.5066666666666668,Gasto Medio,46+ Meses,Bajo Costo/Día
11,0017-IUDMW,0,Female,No Senior,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,3.893333333333333,Alto Gasto,46+ Meses,Alto Costo/Día
12,0018-NYROU,0,Female,No Senior,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,2.2983333333333333,Bajo Gasto,0-12 Meses,Costo/Día Medio
13,0019-EFAEP,0,Female,No Senior,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,3.3766666666666665,Alto Gasto,46+ Meses,Alto Costo/Día
14,0019-GFNTW,0,Female,No Senior,0,0,56,0,No phone service,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),45.05,2560.1,1.5016666666666665,Gasto Medio,46+ Meses,Bajo Costo/Día
15,0020-INWCK,0,Female,No Senior,1,1,71,1,1,Fiber optic,0,1,1,0,0,1,Two year,1,Credit card (automatic),95.75,6849.4,3.191666666666667,Alto Gasto,46+ Meses,Alto Costo/Día
16,0020-JDNXP,0,Female,No Senior,1,1,34,0,No phone service,DSL,1,0,1,1,1,1,One year,0,Mailed check,61.25,1993.2,2.0416666666666665,Gasto Medio,13-45 Meses,Costo/Día Medio
17,0021-IKXGC,0,Female,Senior,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,72.1,72.1,2.4033333333333333,Bajo Gasto,0-12 Meses,Costo/Día Medio
18,0022-TCJCI,1,Male,Senior,0,0,45,1,0,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),62.7,2791.5,2.0900000000000003,Alto Gasto,13-45 Meses,Costo/Día Medio
19,0023-HGHWL,1,Male,Senior,0,0,1,0,No phone service,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,25.1,25.1,0.8366666666666667,Bajo Gasto,0-12 Meses,Bajo Costo/Día
20,0023-UYUPN,0,Female,Senior,1,0,50,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,1306.3,0.84,Gasto Medio,46+ Meses,Bajo Costo/Día
21,0023-XUOPT,1,Female,No Senior,1,0,13,1,1,Fiber optic,0,1,1,0,1,0,Month-to-month,0,Electronic check,94.1,1215.6,3.1366666666666663,Gasto Medio,0-12 Meses,Alto Costo/Día
22,0027-KWYKW,0,Female,No Senior,1,1,23,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,1849.95,2.7916666666666665,Gasto Medio,13-45 Meses,Costo/Día Medio
23,0030-FNXPP,0,Female,No Senior,0,0,3,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,57.2,0.6616666666666667,Bajo Gasto,0-12 Meses,Bajo Costo/Día
24,0031-PVLZI,1,Female,No Senior,1,1,4,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,76.35,0.6783333333333333,Bajo Gasto,0-12 Meses,Bajo Costo/Día
25,0032-PGELS,1,Female,No Senior,1,1,1,0,No phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1.0166666666666666,Bajo Gasto,0-12 Meses,Bajo Costo/Día
26,0036-IHMOT,0,Female,No Senior,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,3.4566666666666666,Alto Gasto,46+ Meses,Alto Costo/Día
27,0040-HALCW,0,Male,No Senior,1,1,54,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,1090.6,0.6799999999999999,Gasto Medio,46+ Meses,Bajo Costo/Día
28,0042-JVWOJ,0,Male,No Senior,0,0,26,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,471.85,0.6533333333333334,Bajo Gasto,13-45 Meses,Bajo Costo/Día
29,0042-RLHYP,0,Female,No Senior,1,1,69,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1396.9,0.6566666666666666,Gasto Medio,46+ Meses,Bajo Costo/Día
30,0047-ZHDTW,0,Female,No Senior,0,0,11,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.0,929.3,2.6333333333333333,Gasto Medio,0-12 Meses,Costo/Día Medio
31,0048-LUMLS,0,Male,No Senior,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,3.04,Alto Gasto,13-45 Meses,Alto Costo/Día
32,0048-PIHNL,0,Female,No Senior,1,0,49,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,900.9,0.6816666666666666,Gasto Medio,46+ Meses,Bajo Costo/Día
33,0052-DCKON,0,Male,No Senior,1,0,66,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,7942.15,3.86,Alto Gasto,46+ Meses,Alto Costo/Día
34,0052-YNYOT,0,Female,No Senior,0,0,67,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,1343.4,0.685,Gasto Medio,46+ Meses,Bajo Costo/Día
35,0056-EPFBG,0,Male,No Senior,1,1,20,0,No phone service,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,825.4,1.3133333333333332,Gasto Medio,13-45 Meses,Bajo Costo/Día
36,0057-QBUQH,0,Female,No Senior,0,1,43,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,1070.15,0.8366666666666667,Gasto Medio,13-45 Meses,Bajo Costo/Día
37,0058-EVZWM,0,Female,No Senior,1,0,55,1,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,2.993333333333333,Alto Gasto,46+ Meses,Alto Costo/Día
38,0060-FUALY,0,Female,No Senior,1,0,59,1,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,5597.65,3.158333333333333,Alto Gasto,46+ Meses,Alto Costo/Día
39,0064-SUDOG,0,Female,No Senior,1,1,12,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,224.5,0.6766666666666666,Bajo Gasto,0-12 Meses,Bajo Costo/Día
40,0064-YIJGF,0,Male,No Senior,1,1,27,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,1929.0,2.525,Gasto Medio,13-45 Meses,Costo/Día Medio
41,0067-DKWBL,1,Male,Senior,0,0,2,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,91.1,1.6416666666666666,Bajo Gasto,0-12 Meses,Bajo Costo/Día
42,0068-FIGTF,0,Female,No Senior,0,0,27,1,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,2078.95,2.606666666666667,Gasto Medio,13-45 Meses,Costo/Día Medio
43,0071-NDAFP,0,Male,No Senior,1,1,25,1,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,630.6,0.85,Bajo Gasto,13-45 Meses,Bajo Costo/Día
44,0074-HDKDG,0,Male,No Senior,1,1,25,1,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1611.0,2.0533333333333332,Gasto Medio,13-45 Meses,Costo/Día Medio
45,0076-LVEPS,0,Male,No Senior,0,1,29,0,No phone service,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,1.5,Gasto Medio,13-45 Meses,Bajo Costo/Día
46,0078-XZMHT,0,Male,No Senior,1,0,72,1,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,6316.2,2.8383333333333334,Alto Gasto,46+ Meses,Alto Costo/Día
47,0080-EMYVY,0,Female,No Senior,0,0,14,1,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,727.85,1.715,Gasto Medio,0-12 Meses,Costo/Día Medio
48,0080-OROZO,0,Female,No Senior,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,3.308333333333333,Alto Gasto,13-45 Meses,Alto Costo/Día
49,0082-LDZUE,0,Male,No Senior,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,44.3,1.4766666666666666,Bajo Gasto,0-12 Meses,Bajo Costo/Día
50,0082-OQIQY,0,Male,No Senior,0,0,29,1,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,2607.6,3.14,Gasto Medio,13-45 Meses,Alto Costo/Día
51,0083-PIVIK,0,Male,No Senior,0,0,64,1,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,5567.55,2.7083333333333335,Alto Gasto,46+ Meses,Costo/Día Medio
52,0089-IIQKO,0,Female,No Senior,1,1,39,1,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3767.4,3.3316666666666666,Alto Gasto,13-45 Meses,Alto Costo/Día
53,0093-EXYQL,0,Female,Senior,0,0,40,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,3673.6,3.0516666666666667,Alto Gasto,13-45 Meses,Alto Costo/Día
54,0093-XWZFY,1,Male,No Senior,0,0,40,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,4036.85,3.4833333333333334,Alto Gasto,13-45 Meses,Alto Costo/Día
55,0094-OIFMO,1,Female,Senior,0,0,11,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,1120.3,3.1666666666666665,Gasto Medio,0-12 Meses,Alto Costo/Día
56,0096-BXERS,0,Female,No Senior,1,0,6,1,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,314.55,1.6783333333333335,Bajo Gasto,0-12 Meses,Costo/Día Medio
57,0096-FCPUF,0,Male,No Senior,0,0,30,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,1888.45,2.15,Gasto Medio,13-45 Meses,Costo/Día Medio
58,0098-BOWSO,0,Male,No Senior,0,0,27,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,529.8,0.6466666666666666,Bajo Gasto,13-45 Meses,Bajo Costo/Día
